station_id,station_name,latitude,longitude,year,month,date,month_id,season,split,rainfall_mm,CCS,CDR,CHIRPS,ERA5,GSMaP_Gauge,GSMaP_MVK,IMERG,LST,NDVI,PDIR,PERSIANN,Distance_Sea_meter,Land_Aspect_Degree_30m,Land_Khulna_SRTM_DEM,Land_Slope_Degree_30m,month_sin,month_cos,raster_x,raster_y,inside_raster_bounds,valid_predictor_count,missing_predictor_count,all_predictors_available
CL510,Khulna,22.8319,89.55,2019,4,2019-04-01,2019_04,Pre_Monsoon,train,61.0,51.091156005859375,134.27978515625,105.43063354492188,137.13092041015625,85.60820007324219,376.7307739257813,0.1647684276103973,32.61000061035156,0.4471000134944916,102.57684326171876,214.38015747070312,56018.875,154.1371307373047,6.754478931427002,2.105170726776123,0.8660254037844387,-0.4999999999999998,89.55,22.8319,True,15,0,True
CL515,Paikgacha,22.585,89.3182,2019,4,2019-04-01,2019_04,Pre_Monsoon,train,75.0,24.67131233215332,94.13581085205078,90.57523345947266,96.51605224609376,76.57990264892578,236.66357421875,0.1445819437503814,29.64999961853028,0.4212999939918518,77.13487243652344,191.4016876220703,37890.0703125,129.93092346191406,4.656047344207764,1.6002691984176636,0.8660254037844387,-0.4999999999999998,89.3182,22.585,True,15,0,True
CL517,Rupsa,22.79,89.59,2019,4,2019-04-01,2019_04,Pre_Monsoon,train,46.3,35.98655319213867,129.48573303222656,107.05948638916016,137.06532287597656,87.20492553710938,341.1463623046875,0.1601702123880386,31.023332595825195,0.4918000102043152,84.35684967041016,197.957748413086,50599.09375,140.3240509033203,3.7103257179260254,1.5449576377868652,0.8660254037844387,-0.4999999999999998,89.59,22.79,True,15,0,True
CL504,Dumuria,22.8093,89.4145,2019,5,2019-05-01,2019_05,Pre_Monsoon,train,104.2,126.29825592041016,177.437255859375,178.4278106689453,110.64618682861328,184.3710479736328,174.87696838378906,0.1945917308330536,32.05500030517578,0.4810999929904938,138.68212890625,224.6591033935547,57738.24609375,152.4185333251953,5.504084587097168,1.9329872131347656,0.4999999999999999,-0.8660254037844387,89.4145,22.8093,True,15,0,True
CL510,Khulna,22.8319,89.55,2019,5,2019-05-01,2019_05,Pre_Monsoon,train,79.0,114.8548812866211,187.68551635742188,179.9637451171875,120.10527801513672,245.01124572753903,182.4253845214844,0.1967208236455917,32.599998474121094,0.447299987077713,137.48379516601562,188.4029541015625,56018.875,154.1371307373047,6.754478931427002,2.105170726776123,0.4999999999999999,-0.8660254037844387,89.55,22.8319,True,15,0,True
CL515,Paikgacha,22.585,89.3182,2019,5,2019-05-01,2019_05,Pre_Monsoon,train,87.0,104.44554138183594,162.92367553710938,112.49920654296876,78.48780059814453,158.14646911621094,170.62620544433594,0.2010212838649749,29.540000915527344,0.4083999991416931,149.00564575195312,183.03082275390625,37890.0703125,129.93092346191406,4.656047344207764,1.6002691984176636,0.4999999999999999,-0.8660254037844387,89.3182,22.585,True,15,0,True
CL517,Rupsa,22.79,89.59,2019,5,2019-05-01,2019_05,Pre_Monsoon,train,109.9,104.49789428710938,190.14874267578125,175.85841369628906,115.37735748291016,224.0933380126953,184.71763610839844,0.1988806575536728,30.6299991607666,0.4009999930858612,143.4581756591797,173.87855529785156,50599.09375,140.3240509033203,3.7103257179260254,1.5449576377868652,0.4999999999999999,-0.8660254037844387,89.59,22.79,True,15,0,True
CL504,Dumuria,22.8093,89.4145,2019,6,2019-06-01,2019_06,Monsoon,train,51.1,143.39854431152344,190.77850341796875,186.74449157714844,291.49761962890625,181.3670654296875,137.80140686035156,0.2701949775218963,29.96999931335449,0.5192000269889832,211.9536895751953,374.11712646484375,57738.24609375,152.4185333251953,5.504084587097168,1.9329872131347656,1.2246467991473532e-16,-1.0,89.4145,22.8093,True,15,0,True
CL510,Khulna,22.8319,89.55,2019,6,2019-06-01,2019_06,Monsoon,train,168.0,143.84539794921875,201.7728729248047,187.51109313964844,276.320068359375,202.25848388671875,135.31417846679688,0.2797312438488006,29.3700008392334,0.5228999853134155,228.85549926757807,263.92144775390625,56018.875,154.1371307373047,6.754478931427002,2.105170726776123,1.2246467991473532e-16,-1.0,89.55,22.8319,True,15,0,True
CL515,Paikgacha,22.585,89.3182,2019,6,2019-06-01,2019_06,Monsoon,train,139.0,191.90821838378903,196.0027313232422,206.0547332763672,253.0974578857422,185.7115936279297,189.0474853515625,0.2958982586860657,29.0766658782959,0.4648999869823456,263.4544982910156,487.1914978027344,37890.0703125,129.93092346191406,4.656047344207764,1.6002691984176636,1.2246467991473532e-16,-1.0,89.3182,22.585,True,15,0,True
CL517,Rupsa,22.79,89.59,2019,6,2019-06-01,2019_06,Monsoon,train,154.1,123.2482452392578,205.4464874267578,181.85153198242188,262.47515869140625,200.2133178710937,136.8479766845703,0.2932971119880676,28.739999771118164,0.4666000008583069,244.0970764160156,235.5205078125,50599.09375,140.3240509033203,3.7103257179260254,1.5449576377868652,1.2246467991473532e-16,-1.0,89.59,22.79,True,15,0,True
CL504,Dumuria,22.8093,89.4145,2019,7,2019-07-01,2019_07,Monsoon,train,359.5,416.1879577636719,415.6568298339844,457.1354370117188,235.22628784179688,321.1880187988281,223.623291015625,0.3947488069534302,30.809999465942383,0.6711000204086304,440.8276977539063,426.4826049804688,57738.24609375,152.4185333251953,5.504084587097168,1.9329872131347656,-0.4999999999999997,-0.8660254037844388,89.4145,22.8093,True,15,0,True
CL510,Khulna,22.8319,89.55,2019,7,2019-07-01,2019_07,Monsoon,train,287.0,492.04876708984375,443.5245971679688,495.4514465332031,237.6300811767578,439.66943359375,208.9076538085937,0.4208214282989502,32.15999984741211,0.4893999993801117,438.8516845703125,366.1624450683594,56018.875,154.1371307373047,6.754478931427002,2.105170726776123,-0.4999999999999997,-0.8660254037844388,89.55,22.8319,True,15,0,True
