station_id,station_name,latitude,longitude,year,month,date,month_id,season,split,rainfall_mm,GSMaP_MVK,IMERG,LST,NDVI,PDIR,Distance_Sea_meter,Land_Aspect_Degree_30m,Land_Khulna_SRTM_DEM,Land_Slope_Degree_30m,month_sin,month_cos,raster_x,raster_y,inside_raster_bounds,valid_predictor_count,missing_predictor_count,all_predictors_available
CL509,Kapilmuni,22.6887,89.3088,2021,1,2021-01-01,2021_01,Winter,validation,0.0,0.0043608164414763,0.007869710214436,23.405000686645508,0.3892000019550323,11.50478458404541,48315.43359375,157.5592803955078,4.3667826652526855,1.917250394821167,0.4999999999999999,0.8660254037844387,89.3088,22.6887,True,13,2,False
CL510,Khulna,22.8319,89.55,2021,1,2021-01-01,2021_01,Winter,validation,0.0,0.0124667268246412,0.0069991033524274,25.174999237060547,0.3955000042915344,0.0,56018.875,154.1371307373047,6.754478931427002,2.105170726776123,0.4999999999999999,0.8660254037844387,89.55,22.8319,True,15,0,True
CL515,Paikgacha,22.585,89.3182,2021,1,2021-01-01,2021_01,Winter,validation,0.0,0.0021351133473217,0.0094674890860915,23.020000457763672,0.3952000141143799,0.0,37890.0703125,129.93092346191406,4.656047344207764,1.6002691984176636,0.4999999999999999,0.8660254037844387,89.3182,22.585,True,15,0,True
CL517,Rupsa,22.79,89.59,2021,1,2021-01-01,2021_01,Winter,validation,0.0,0.0044622453860938,0.0044759823940694,23.26000022888184,0.3188000023365021,0.0,50599.09375,140.3240509033203,3.7103257179260254,1.5449576377868652,0.4999999999999999,0.8660254037844387,89.59,22.79,True,15,0,True
CL503,Chalna,22.6012,89.5195,2021,2,2021-02-01,2021_02,Winter,validation,19.6,23.69808959960937,0.0040929410606622,27.475000381469727,0.2538000047206878,18.53587913513184,31467.640625,108.51805877685548,3.4914283752441406,1.7203952074050903,0.8660254037844386,0.5000000000000001,89.5195,22.6012,True,13,2,False
CL504,Dumuria,22.8093,89.4145,2021,2,2021-02-01,2021_02,Winter,validation,73.5,26.631511688232425,0.006229143589735,26.31999969482422,0.5593000054359436,33.79931640625,57738.24609375,152.4185333251953,5.504084587097168,1.9329872131347656,0.8660254037844386,0.5000000000000001,89.4145,22.8093,True,15,0,True
CL509,Kapilmuni,22.6887,89.3088,2021,2,2021-02-01,2021_02,Winter,validation,89.4,20.449567794799805,0.0055560548789799,26.145000457763672,0.3822999894618988,19.300447463989258,48315.43359375,157.5592803955078,4.3667826652526855,1.917250394821167,0.8660254037844386,0.5000000000000001,89.3088,22.6887,True,13,2,False
CL510,Khulna,22.8319,89.55,2021,2,2021-02-01,2021_02,Winter,validation,82.2,22.182090759277344,0.006000000052154,28.7450008392334,0.4052999913692474,57.69747161865234,56018.875,154.1371307373047,6.754478931427002,2.105170726776123,0.8660254037844386,0.5000000000000001,89.55,22.8319,True,15,0,True
CL515,Paikgacha,22.585,89.3182,2021,2,2021-02-01,2021_02,Winter,validation,61.9,18.385576248168945,0.0050262310542166,25.82999992370605,0.3476999998092651,28.23598289489746,37890.0703125,129.93092346191406,4.656047344207764,1.6002691984176636,0.8660254037844386,0.5000000000000001,89.3182,22.585,True,15,0,True
CL517,Rupsa,22.79,89.59,2021,2,2021-02-01,2021_02,Winter,validation,62.8,22.32964134216309,0.006000000052154,26.729999542236328,0.3483999967575073,48.19886016845703,50599.09375,140.3240509033203,3.7103257179260254,1.5449576377868652,0.8660254037844386,0.5000000000000001,89.59,22.79,True,15,0,True
CL503,Chalna,22.6012,89.5195,2021,3,2021-03-01,2021_03,Pre_Monsoon,validation,138.8,0.1864276230335235,0.0010000000474974,31.979999542236328,0.2354000061750412,7.511959552764893,31467.640625,108.51805877685548,3.4914283752441406,1.7203952074050903,1.0,6.123233995736766e-17,89.5195,22.6012,True,13,2,False
CL504,Dumuria,22.8093,89.4145,2021,3,2021-03-01,2021_03,Pre_Monsoon,validation,30.1,0.3162637948989868,0.0010000000474974,29.89999961853028,0.6381999850273132,4.327212333679199,57738.24609375,152.4185333251953,5.504084587097168,1.9329872131347656,1.0,6.123233995736766e-17,89.4145,22.8093,True,15,0,True
CL509,Kapilmuni,22.6887,89.3088,2021,3,2021-03-01,2021_03,Pre_Monsoon,validation,40.8,0.0465642251074314,0.0016315128887072,29.479999542236328,0.446399986743927,41.563241958618164,48315.43359375,157.5592803955078,4.3667826652526855,1.917250394821167,1.0,6.123233995736766e-17,89.3088,22.6887,True,13,2,False
CL510,Khulna,22.8319,89.55,2021,3,2021-03-01,2021_03,Pre_Monsoon,validation,49.0,0.1275421530008316,0.0017908739391714,33.5,0.388399988412857,5.794710636138916,56018.875,154.1371307373047,6.754478931427002,2.105170726776123,1.0,6.123233995736766e-17,89.55,22.8319,True,15,0,True
CL515,Paikgacha,22.585,89.3182,2021,3,2021-03-01,2021_03,Pre_Monsoon,validation,47.3,0.3360408842563629,0.0022194287739694,30.18000030517578,0.3447000086307525,3.2898077964782715,37890.0703125,129.93092346191406,4.656047344207764,1.6002691984176636,1.0,6.123233995736766e-17,89.3182,22.585,True,15,0,True
CL517,Rupsa,22.79,89.59,2021,3,2021-03-01,2021_03,Pre_Monsoon,validation,59.7,0.0782723054289817,0.0016336973058059,31.100000381469727,0.4620999991893768,9.286713600158691,50599.09375,140.3240509033203,3.7103257179260254,1.5449576377868652,1.0,6.123233995736766e-17,89.59,22.79,True,15,0,True
CL503,Chalna,22.6012,89.5195,2021,4,2021-04-01,2021_04,Pre_Monsoon,validation,116.3,4.927970409393311,0.0203680600970983,33.310001373291016,0.3185000121593475,24.710350036621094,31467.640625,108.51805877685548,3.4914283752441406,1.7203952074050903,0.8660254037844387,-0.4999999999999998,89.5195,22.6012,True,13,2,False
CL504,Dumuria,22.8093,89.4145,2021,4,2021-04-01,2021_04,Pre_Monsoon,validation,73.5,10.183793067932127,0.0271830335259437,32.776668548583984,0.5184999704360962,34.821414947509766,57738.24609375,152.4185333251953,5.504084587097168,1.9329872131347656,0.8660254037844387,-0.4999999999999998,89.4145,22.8093,True,15,0,True
CL509,Kapilmuni,22.6887,89.3088,2021,4,2021-04-01,2021_04,Pre_Monsoon,validation,54.2,6.663095951080322,0.0243858192116022,31.8700008392334,0.4271999895572662,100.79429626464844,48315.43359375,157.5592803955078,4.3667826652526855,1.917250394821167,0.8660254037844387,-0.4999999999999998,89.3088,22.6887,True,13,2,False
CL510,Khulna,22.8319,89.55,2021,4,2021-04-01,2021_04,Pre_Monsoon,validation,93.9,8.964273452758789,0.0258505195379257,35.16999816894531,0.4153000116348266,27.794109344482425,56018.875,154.1371307373047,6.754478931427002,2.105170726776123,0.8660254037844387,-0.4999999999999998,89.55,22.8319,True,15,0,True
CL515,Paikgacha,22.585,89.3182,2021,4,2021-04-01,2021_04,Pre_Monsoon,validation,108.7,5.6594648361206055,0.022773090749979,31.12333297729492,0.335999995470047,32.381961822509766,37890.0703125,129.93092346191406,4.656047344207764,1.6002691984176636,0.8660254037844387,-0.4999999999999998,89.3182,22.585,True,15,0,True
CL517,Rupsa,22.79,89.59,2021,4,2021-04-01,2021_04,Pre_Monsoon,validation,84.7,5.689073085784912,0.0248024947941303,33.05666732788086,0.4171000123023987,18.793746948242188,50599.09375,140.3240509033203,3.7103257179260254,1.5449576377868652,0.8660254037844387,-0.4999999999999998,89.59,22.79,True,15,0,True
CL503,Chalna,22.6012,89.5195,2021,5,2021-05-01,2021_05,Pre_Monsoon,validation,249.1,142.77590942382812,0.1903721094131469,33.4900016784668,0.3307999968528747,245.4116973876953,31467.640625,108.51805877685548,3.4914283752441406,1.7203952074050903,0.4999999999999999,-0.8660254037844387,89.5195,22.6012,True,13,2,False
CL504,Dumuria,22.8093,89.4145,2021,5,2021-05-01,2021_05,Pre_Monsoon,validation,130.7,221.92645263671875,0.2058095484972,35.20000076293945,0.4790000021457672,248.60598754882807,57738.24609375,152.4185333251953,5.504084587097168,1.9329872131347656,0.4999999999999999,-0.8660254037844387,89.4145,22.8093,True,15,0,True
CL509,Kapilmuni,22.6887,89.3088,2021,5,2021-05-01,2021_05,Pre_Monsoon,validation,147.8,158.07675170898438,0.219664990901947,31.665000915527344,0.4025000035762787,146.2319107055664,48315.43359375,157.5592803955078,4.3667826652526855,1.917250394821167,0.4999999999999999,-0.8660254037844387,89.3088,22.6887,True,13,2,False
CL510,Khulna,22.8319,89.55,2021,5,2021-05-01,2021_05,Pre_Monsoon,validation,154.4,246.5118103027344,0.1949982047080993,35.79999923706055,0.4383000135421753,249.10348510742188,56018.875,154.1371307373047,6.754478931427002,2.105170726776123,0.4999999999999999,-0.8660254037844387,89.55,22.8319,True,15,0,True
CL515,Paikgacha,22.585,89.3182,2021,5,2021-05-01,2021_05,Pre_Monsoon,validation,114.0,136.8084259033203,0.2231568545103073,30.75,0.3736000061035156,225.42593383789065,37890.0703125,129.93092346191406,4.656047344207764,1.6002691984176636,0.4999999999999999,-0.8660254037844387,89.3182,22.585,True,15,0,True
CL517,Rupsa,22.79,89.59,2021,5,2021-05-01,2021_05,Pre_Monsoon,validation,158.2,220.0565795898437,0.1930643767118454,34.540000915527344,0.3400999903678894,237.3192443847656,50599.09375,140.3240509033203,3.7103257179260254,1.5449576377868652,0.4999999999999999,-0.8660254037844387,89.59,22.79,True,15,0,True
CL503,Chalna,22.6012,89.5195,2021,6,2021-06-01,2021_06,Monsoon,validation,310.6,548.6339111328125,0.7069762945175171,30.8700008392334,0.2614000141620636,401.1720275878906,31467.640625,108.51805877685548,3.4914283752441406,1.7203952074050903,1.2246467991473532e-16,-1.0,89.5195,22.6012,True,13,2,False
CL504,Dumuria,22.8093,89.4145,2021,6,2021-06-01,2021_06,Monsoon,validation,90.7,508.0270385742188,0.6810262799263,32.5099983215332,0.5960999727249146,366.2535095214844,57738.24609375,152.4185333251953,5.504084587097168,1.9329872131347656,1.2246467991473532e-16,-1.0,89.4145,22.8093,True,15,0,True
CL509,Kapilmuni,22.6887,89.3088,2021,6,2021-06-01,2021_06,Monsoon,validation,207.9,528.2782592773438,0.6641445159912109,32.189998626708984,0.414900004863739,349.64056396484375,48315.43359375,157.5592803955078,4.3667826652526855,1.917250394821167,1.2246467991473532e-16,-1.0,89.3088,22.6887,True,13,2,False
CL510,Khulna,22.8319,89.55,2021,6,2021-06-01,2021_06,Monsoon,validation,244.8,515.3506469726562,0.6974677443504333,35.130001068115234,0.3736999928951263,378.32373046875,56018.875,154.1371307373047,6.754478931427002,2.105170726776123,1.2246467991473532e-16,-1.0,89.55,22.8319,True,15,0,True
CL515,Paikgacha,22.585,89.3182,2021,6,2021-06-01,2021_06,Monsoon,validation,230.9,496.7189025878906,0.6922353506088257,29.239999771118164,0.3170999884605407,419.2226867675781,37890.0703125,129.93092346191406,4.656047344207764,1.6002691984176636,1.2246467991473532e-16,-1.0,89.3182,22.585,True,15,0,True
CL517,Rupsa,22.79,89.59,2021,6,2021-06-01,2021_06,Monsoon,validation,209.9,570.8246459960938,0.6962221264839172,33.75,0.2633000016212463,386.8348083496094,50599.09375,140.3240509033203,3.7103257179260254,1.5449576377868652,1.2246467991473532e-16,-1.0,89.59,22.79,True,15,0,True
CL503,Chalna,22.6012,89.5195,2021,7,2021-07-01,2021_07,Monsoon,validation,543.5,416.7809753417969,0.7658894658088684,29.390000343322754,0.2894999980926513,523.9188232421875,31467.640625,108.51805877685548,3.4914283752441406,1.7203952074050903,-0.4999999999999997,-0.8660254037844388,89.5195,22.6012,True,12,3,False
CL504,Dumuria,22.8093,89.4145,2021,7,2021-07-01,2021_07,Monsoon,validation,379.3,294.650634765625,0.6287317872047424,30.809999465942383,0.635699987411499,382.4353637695313,57738.24609375,152.4185333251953,5.504084587097168,1.9329872131347656,-0.4999999999999997,-0.8660254037844388,89.4145,22.8093,True,14,1,False
CL509,Kapilmuni,22.6887,89.3088,2021,7,2021-07-01,2021_07,Monsoon,validation,426.0,357.6365051269531,0.7015382051467896,29.609999656677246,0.4262999892234802,432.24969482421875,48315.43359375,157.5592803955078,4.3667826652526855,1.917250394821167,-0.4999999999999997,-0.8660254037844388,89.3088,22.6887,True,12,3,False
CL510,Khulna,22.8319,89.55,2021,7,2021-07-01,2021_07,Monsoon,validation,359.7,268.759521484375,0.6232312917709351,32.15999984741211,0.3165000081062317,420.90045166015625,56018.875,154.1371307373047,6.754478931427002,2.105170726776123,-0.4999999999999997,-0.8660254037844388,89.55,22.8319,True,14,1,False
CL515,Paikgacha,22.585,89.3182,2021,7,2021-07-01,2021_07,Monsoon,validation,441.6,439.4157104492188,0.772221565246582,28.210000038146973,0.335099995136261,448.9681396484375,37890.0703125,129.93092346191406,4.656047344207764,1.6002691984176636,-0.4999999999999997,-0.8660254037844388,89.3182,22.585,True,14,1,False
CL517,Rupsa,22.79,89.59,2021,7,2021-07-01,2021_07,Monsoon,validation,410.6,305.21978759765625,0.639280378818512,32.45000076293945,0.2371000051498413,412.8028564453125,50599.09375,140.3240509033203,3.7103257179260254,1.5449576377868652,-0.4999999999999997,-0.8660254037844388,89.59,22.79,True,14,1,False
