Year,Month,Month_ID,Band_Number,Band_Name,Source_File,Minimum,Maximum,Mean,Valid_Pixels,Total_Pixels,NoData_Pixels
2019,1,2019_01,12,Distance_Sea_meter,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\static\Distance_Sea_meter.tif,0.0,77480.6640625,24497.150390625,4837,8909,4072
2019,1,2019_01,13,Land_Aspect_Degree_30m,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\static\Land_Aspect_Degree_30m.tif,0.0,174.62100219726562,115.75617980957031,4837,8909,4072
2019,1,2019_01,14,Land_Khulna_SRTM_DEM,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\static\Land_Khulna_SRTM_DEM.tif,0.0,14.246426582336426,4.841400623321533,4837,8909,4072
2019,1,2019_01,15,Land_Slope_Degree_30m,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\static\Land_Slope_Degree_30m.tif,0.0,3.7204315662384033,1.5288087129592896,4827,8909,4082
2019,2,2019_02,1,CCS,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\CCS\2019_02.tif,1.0,72.0,13.46636962890625,4589,8909,4320
2019,2,2019_02,2,CDR,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\CDR\2019_02.tif,73.22183990478516,151.4083251953125,110.90586853027344,3576,8909,5333
2019,2,2019_02,3,CHIRPS,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\CHIRPS\2019_02.tif,33.12152862548828,84.14381408691406,57.44806671142578,4732,8909,4177
2019,2,2019_02,4,ERA5,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\ERA5\2019_02.tif,18.26287841796875,56.18573760986328,43.975074768066406,4833,8909,4076
2019,2,2019_02,5,GSMaP_Gauge,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_Gauge\2019_02.tif,96.97099304199219,172.87527465820312,138.48167419433594,4837,8909,4072
2019,2,2019_02,6,GSMaP_MVK,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_MVK\2019_02.tif,28.190027236938477,344.9051208496094,139.03770446777344,4837,8909,4072
2019,2,2019_02,7,IMERG,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\IMERG\2019_02.tif,0.08171234279870987,0.1729445606470108,0.1428496241569519,4837,8909,4072
2019,2,2019_02,8,LST,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\LST\LST_Day_2019_2.tif,21.575000762939453,28.940000534057617,24.50161361694336,4340,8909,4569
2019,2,2019_02,9,NDVI,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\NDVI\NDVI_2019_2.tif,-0.1995999962091446,0.8589000105857849,0.4525914788246155,4435,8909,4474
2019,2,2019_02,10,PDIR,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\PDIR\2019_02.tif,15.265100479125977,105.92389678955078,43.055301666259766,4589,8909,4320
2019,2,2019_02,11,PERSIANN,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\PERSIANN\2019_02.tif,35.880001068115234,119.89078521728516,85.99940490722656,3576,8909,5333
2019,2,2019_02,12,Distance_Sea_meter,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\static\Distance_Sea_meter.tif,0.0,77480.6640625,24497.150390625,4837,8909,4072
2019,2,2019_02,13,Land_Aspect_Degree_30m,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\static\Land_Aspect_Degree_30m.tif,0.0,174.62100219726562,115.75617980957031,4837,8909,4072
2019,2,2019_02,14,Land_Khulna_SRTM_DEM,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\static\Land_Khulna_SRTM_DEM.tif,0.0,14.246426582336426,4.841400623321533,4837,8909,4072
2019,2,2019_02,15,Land_Slope_Degree_30m,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\static\Land_Slope_Degree_30m.tif,0.0,3.7204315662384033,1.5288087129592896,4827,8909,4082
2019,3,2019_03,1,CCS,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\CCS\2019_03.tif,0.0,45.0,16.595775604248047,4589,8909,4320
2019,3,2019_03,2,CDR,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\CDR\2019_03.tif,47.8048210144043,90.04749298095703,76.5555419921875,3576,8909,5333
2019,3,2019_03,3,CHIRPS,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\CHIRPS\2019_03.tif,14.536946296691895,89.63783264160156,56.906410217285156,4732,8909,4177
2019,3,2019_03,4,ERA5,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\ERA5\2019_03.tif,38.53797912597656,59.81404113769531,51.26468276977539,4833,8909,4076
2019,3,2019_03,5,GSMaP_Gauge,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_Gauge\2019_03.tif,47.93714904785156,90.088623046875,65.82218170166016,4837,8909,4072
2019,3,2019_03,6,GSMaP_MVK,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_MVK\2019_03.tif,2.37965989112854,426.7391052246094,145.89797973632812,4837,8909,4072
2019,3,2019_03,7,IMERG,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\IMERG\2019_03.tif,0.0208223145455122,0.107759989798069,0.07701142877340317,4837,8909,4072
2019,3,2019_03,8,LST,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\LST\LST_Day_2019_3.tif,24.7549991607666,31.7549991607666,27.54481315612793,4340,8909,4569
2019,3,2019_03,9,NDVI,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\NDVI\NDVI_2019_3.tif,-0.1932000070810318,0.9517999887466431,0.4863956570625305,4447,8909,4462
2019,3,2019_03,10,PDIR,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\PDIR\2019_03.tif,2.2172024250030518,103.68440246582031,53.0402717590332,4589,8909,4320
2019,3,2019_03,11,PERSIANN,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\PERSIANN\2019_03.tif,33.52000045776367,92.05000305175781,59.04336929321289,3576,8909,5333
2019,3,2019_03,12,Distance_Sea_meter,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\static\Distance_Sea_meter.tif,0.0,77480.6640625,24497.150390625,4837,8909,4072
2019,3,2019_03,13,Land_Aspect_Degree_30m,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\static\Land_Aspect_Degree_30m.tif,0.0,174.62100219726562,115.75617980957031,4837,8909,4072
2019,3,2019_03,14,Land_Khulna_SRTM_DEM,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\static\Land_Khulna_SRTM_DEM.tif,0.0,14.246426582336426,4.841400623321533,4837,8909,4072
2019,3,2019_03,15,Land_Slope_Degree_30m,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\static\Land_Slope_Degree_30m.tif,0.0,3.7204315662384033,1.5288087129592896,4827,8909,4082
2019,4,2019_04,1,CCS,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\CCS\2019_04.tif,17.010601043701172,82.92799377441406,29.51952362060547,4589,8909,4320
2019,4,2019_04,2,CDR,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\CDR\2019_04.tif,76.96776580810547,156.0102996826172,101.08723449707031,3576,8909,5333
2019,4,2019_04,3,CHIRPS,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\CHIRPS\2019_04.tif,39.211700439453125,132.65628051757812,97.12850189208984,4732,8909,4177
