,CCS,CDR,CHIRPS,ERA5,GSMaP_Gauge,GSMaP_MVK,IMERG,LST,NDVI,PDIR,PERSIANN,Distance_Sea_meter,Land_Aspect_Degree_30m,Land_Khulna_SRTM_DEM,Land_Slope_Degree_30m,month_sin,month_cos,latitude,longitude,rainfall_mm
PERSIANN,0.9397028369006362,0.932995357004788,0.9194791504235055,0.8991122177915061,0.8824038436016458,0.8574550188863026,0.9034204011296841,0.5260596281332698,0.15972917031785433,0.933906566044241,1.0,-0.01347756139013889,-0.0032323464203558912,-0.0011719618600120774,-0.0030811255351930423,-0.39801239672110617,-0.7637711819960709,-0.016105024269843386,-0.017995285334378996,0.7738704935210782
Distance_Sea_meter,0.005340915735804158,-0.005462391811862351,-0.008564600527523636,0.008499387833151628,-0.007815102400083594,0.01955935692552889,-0.018721555004205494,0.14057419526640455,0.4618748235133724,-0.04166788418618286,-0.01347756139013889,1.0,0.6,0.7142857142857143,0.5428571428571428,0.0,0.0,0.8857142857142857,0.2571428571428571,-0.10152179355063526
Land_Aspect_Degree_30m,0.007448923185510932,-0.007031175619421435,-0.011238320996775937,0.004510544694063844,-0.023923561032801098,-0.004373968268008302,-0.014526187670897327,0.08056311290836131,0.3117767822450105,-0.037481249417646,-0.0032323464203558912,0.6,1.0,0.5428571428571428,0.6,0.0,0.0,0.6,-0.2571428571428571,-0.07101299201386134
Land_Khulna_SRTM_DEM,0.010265901750589938,-0.004460638296192093,-0.0030867342002750156,0.006586482131572745,-0.012054170461325044,0.005079463620412935,-0.009249372022397026,0.13367866955529623,0.2480530446667045,-0.031621850870258074,-0.0011719618600120774,0.7142857142857143,0.5428571428571428,1.0,0.7142857142857143,0.0,0.0,0.6,-0.08571428571428572,-0.053183526447670305
Land_Slope_Degree_30m,-0.0027413549794393023,-0.007172933192393641,-0.003608435755251075,0.004684445212389196,-0.004510803193372311,0.00429986809970322,-0.014738129803020406,0.15782751476438064,0.282691890251228,-0.020281079488216926,-0.0030811255351930423,0.5428571428571428,0.6,0.7142857142857143,1.0,0.0,0.0,0.6571428571428571,-0.14285714285714285,-0.015738926702857495
month_sin,-0.5126055877963771,-0.45107405734181094,-0.3967918848442156,-0.4587636843002959,-0.48520424235842236,-0.2834896377552452,-0.5120841703076705,0.026554624256066733,-0.43581356519082237,-0.49609601083360305,-0.39801239672110617,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.42090605105385454
month_cos,-0.727350222544691,-0.7756713765925405,-0.7995466364418324,-0.7487006737329519,-0.672719407103452,-0.6047855472791619,-0.7195882118751864,-0.7273452178650406,0.015449873880087336,-0.7043985075156247,-0.7637711819960709,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.7071135319385603
latitude,-0.00046319446204319244,-0.0017577939048553587,-0.0079559487133849,0.008379831226802947,0.007228154514680932,0.025276390744066797,-0.019275865195912015,0.21264380848038278,0.35077401411111353,-0.03474056300031939,-0.016105024269843386,0.8857142857142857,0.6,0.6,0.6571428571428571,0.0,0.0,1.0,0.4857142857142857,-0.05829554726191562
longitude,-0.0035259496804512405,0.007872270552389858,0.0004021449486273788,0.0043909880877151634,0.036912500348656306,0.03364713684003045,-0.0036519259688900124,0.16702873055194042,-0.07289156508083049,-0.007532162326238998,-0.017995285334378996,0.2571428571428571,-0.2571428571428571,-0.08571428571428572,-0.14285714285714285,0.0,0.0,0.4857142857142857,1.0,0.018439206067996657
rainfall_mm,0.7772263362680337,0.8483885232811578,0.8428436693076217,0.8058987648854438,0.8237078719027409,0.6901229031055588,0.8473275692564132,0.5363471782586445,0.11623364381750349,0.792431266672423,0.7738704935210782,-0.10152179355063526,-0.07101299201386134,-0.053183526447670305,-0.015738926702857495,-0.42090605105385454,-0.7071135319385603,-0.05829554726191562,0.018439206067996657,1.0
