station_id,station_name,latitude,longitude,year,month,date,rainfall_mm
CL509,Kapilmuni,22.6887,89.3088,2019,10,2019-10-01,301.5
CL509,Kapilmuni,22.6887,89.3088,2019,11,2019-11-01,51.4
CL509,Kapilmuni,22.6887,89.3088,2019,12,2019-12-01,16.0
CL509,Kapilmuni,22.6887,89.3088,2020,1,2020-01-01,0.0
CL509,Kapilmuni,22.6887,89.3088,2020,2,2020-02-01,75.5
CL509,Kapilmuni,22.6887,89.3088,2020,3,2020-03-01,44.5
CL509,Kapilmuni,22.6887,89.3088,2020,4,2020-04-01,51.3
CL509,Kapilmuni,22.6887,89.3088,2020,5,2020-05-01,140.4
CL509,Kapilmuni,22.6887,89.3088,2020,6,2020-06-01,218.4
CL509,Kapilmuni,22.6887,89.3088,2020,7,2020-07-01,452.0
CL509,Kapilmuni,22.6887,89.3088,2020,8,2020-08-01,297.9
CL509,Kapilmuni,22.6887,89.3088,2020,9,2020-09-01,192.6
CL509,Kapilmuni,22.6887,89.3088,2020,10,2020-10-01,289.5
CL509,Kapilmuni,22.6887,89.3088,2020,11,2020-11-01,21.0
CL509,Kapilmuni,22.6887,89.3088,2020,12,2020-12-01,16.6
CL509,Kapilmuni,22.6887,89.3088,2021,1,2021-01-01,0.0
CL509,Kapilmuni,22.6887,89.3088,2021,2,2021-02-01,89.4
CL509,Kapilmuni,22.6887,89.3088,2021,3,2021-03-01,40.8
CL509,Kapilmuni,22.6887,89.3088,2021,4,2021-04-01,54.2
CL509,Kapilmuni,22.6887,89.3088,2021,5,2021-05-01,147.8
CL509,Kapilmuni,22.6887,89.3088,2021,6,2021-06-01,207.9
CL509,Kapilmuni,22.6887,89.3088,2021,7,2021-07-01,426.0
CL509,Kapilmuni,22.6887,89.3088,2021,8,2021-08-01,318.2
CL509,Kapilmuni,22.6887,89.3088,2021,9,2021-09-01,207.5
CL509,Kapilmuni,22.6887,89.3088,2021,10,2021-10-01,272.5
CL509,Kapilmuni,22.6887,89.3088,2021,11,2021-11-01,24.8
CL509,Kapilmuni,22.6887,89.3088,2021,12,2021-12-01,14.9
CL509,Kapilmuni,22.6887,89.3088,2022,1,2022-01-01,0.0
CL509,Kapilmuni,22.6887,89.3088,2022,2,2022-02-01,103.3
CL509,Kapilmuni,22.6887,89.3088,2022,3,2022-03-01,37.1
CL509,Kapilmuni,22.6887,89.3088,2022,4,2022-04-01,57.1
CL509,Kapilmuni,22.6887,89.3088,2022,5,2022-05-01,155.3
CL509,Kapilmuni,22.6887,89.3088,2022,6,2022-06-01,197.3
CL509,Kapilmuni,22.6887,89.3088,2022,7,2022-07-01,399.9
CL509,Kapilmuni,22.6887,89.3088,2022,8,2022-08-01,338.6
CL509,Kapilmuni,22.6887,89.3088,2022,9,2022-09-01,222.4
CL509,Kapilmuni,22.6887,89.3088,2022,10,2022-10-01,255.5
CL509,Kapilmuni,22.6887,89.3088,2022,11,2022-11-01,28.7
CL509,Kapilmuni,22.6887,89.3088,2022,12,2022-12-01,13.1
CL510,Khulna,22.8319,89.55,2017,1,2017-01-01,0.0
CL510,Khulna,22.8319,89.55,2017,2,2017-02-01,0.0
CL510,Khulna,22.8319,89.55,2017,3,2017-03-01,82.0
CL510,Khulna,22.8319,89.55,2017,4,2017-04-01,106.0
CL510,Khulna,22.8319,89.55,2017,5,2017-05-01,234.0
CL510,Khulna,22.8319,89.55,2017,6,2017-06-01,456.0
CL510,Khulna,22.8319,89.55,2017,7,2017-07-01,720.0
CL510,Khulna,22.8319,89.55,2017,8,2017-08-01,449.5
CL510,Khulna,22.8319,89.55,2017,9,2017-09-01,213.0
CL510,Khulna,22.8319,89.55,2017,10,2017-10-01,325.0
CL510,Khulna,22.8319,89.55,2017,11,2017-11-01,25.0
CL510,Khulna,22.8319,89.55,2017,12,2017-12-01,45.0
CL510,Khulna,22.8319,89.55,2018,1,2018-01-01,0.0
CL510,Khulna,22.8319,89.55,2018,2,2018-02-01,0.0
CL510,Khulna,22.8319,89.55,2018,3,2018-03-01,0.0
CL510,Khulna,22.8319,89.55,2018,4,2018-04-01,135.0
CL510,Khulna,22.8319,89.55,2018,5,2018-05-01,220.0
CL510,Khulna,22.8319,89.55,2018,6,2018-06-01,240.0
CL510,Khulna,22.8319,89.55,2018,7,2018-07-01,267.0
CL510,Khulna,22.8319,89.55,2018,8,2018-08-01,78.0
CL510,Khulna,22.8319,89.55,2018,9,2018-09-01,165.0
CL510,Khulna,22.8319,89.55,2018,10,2018-10-01,46.0
CL510,Khulna,22.8319,89.55,2018,11,2018-11-01,0.0
CL510,Khulna,22.8319,89.55,2018,12,2018-12-01,0.0
CL510,Khulna,22.8319,89.55,2019,1,2019-01-01,0.0
CL510,Khulna,22.8319,89.55,2019,2,2019-02-01,170.0
CL510,Khulna,22.8319,89.55,2019,3,2019-03-01,70.3
CL510,Khulna,22.8319,89.55,2019,4,2019-04-01,61.0
CL510,Khulna,22.8319,89.55,2019,5,2019-05-01,79.0
CL510,Khulna,22.8319,89.55,2019,6,2019-06-01,168.0
CL510,Khulna,22.8319,89.55,2019,7,2019-07-01,287.0
CL510,Khulna,22.8319,89.55,2019,8,2019-08-01,508.0
CL510,Khulna,22.8319,89.55,2019,9,2019-09-01,238.0
CL510,Khulna,22.8319,89.55,2019,10,2019-10-01,318.2
CL510,Khulna,22.8319,89.55,2019,11,2019-11-01,117.0
CL510,Khulna,22.8319,89.55,2019,12,2019-12-01,46.5
CL510,Khulna,22.8319,89.55,2020,1,2020-01-01,0.0
CL510,Khulna,22.8319,89.55,2020,2,2020-02-01,69.4
CL510,Khulna,22.8319,89.55,2020,3,2020-03-01,49.9
CL510,Khulna,22.8319,89.55,2020,4,2020-04-01,97.3
CL510,Khulna,22.8319,89.55,2020,5,2020-05-01,166.0
CL510,Khulna,22.8319,89.55,2020,6,2020-06-01,266.4
CL510,Khulna,22.8319,89.55,2020,7,2020-07-01,392.2
CL510,Khulna,22.8319,89.55,2020,8,2020-08-01,349.6
CL510,Khulna,22.8319,89.55,2020,9,2020-09-01,207.2
CL510,Khulna,22.8319,89.55,2020,10,2020-10-01,229.2
CL510,Khulna,22.8319,89.55,2020,11,2020-11-01,54.2
CL510,Khulna,22.8319,89.55,2020,12,2020-12-01,30.6
CL510,Khulna,22.8319,89.55,2021,1,2021-01-01,0.0
CL510,Khulna,22.8319,89.55,2021,2,2021-02-01,82.2
CL510,Khulna,22.8319,89.55,2021,3,2021-03-01,49.0
CL510,Khulna,22.8319,89.55,2021,4,2021-04-01,93.9
CL510,Khulna,22.8319,89.55,2021,5,2021-05-01,154.4
CL510,Khulna,22.8319,89.55,2021,6,2021-06-01,244.8
CL510,Khulna,22.8319,89.55,2021,7,2021-07-01,359.7
CL510,Khulna,22.8319,89.55,2021,8,2021-08-01,353.9
CL510,Khulna,22.8319,89.55,2021,9,2021-09-01,209.1
CL510,Khulna,22.8319,89.55,2021,10,2021-10-01,228.7
CL510,Khulna,22.8319,89.55,2021,11,2021-11-01,61.1
CL510,Khulna,22.8319,89.55,2021,12,2021-12-01,30.7
CL510,Khulna,22.8319,89.55,2022,1,2022-01-01,0.0
CL510,Khulna,22.8319,89.55,2022,2,2022-02-01,94.9
CL510,Khulna,22.8319,89.55,2022,3,2022-03-01,48.1
CL510,Khulna,22.8319,89.55,2022,4,2022-04-01,90.5
CL510,Khulna,22.8319,89.55,2022,5,2022-05-01,142.8
CL510,Khulna,22.8319,89.55,2022,6,2022-06-01,223.2
CL510,Khulna,22.8319,89.55,2022,7,2022-07-01,327.2
CL510,Khulna,22.8319,89.55,2022,8,2022-08-01,358.3
CL510,Khulna,22.8319,89.55,2022,9,2022-09-01,211.0
